month,division,line,period,num_passengers,additional platform time,additional train time,total_apt,total_att,over_five_mins,over_five_mins_perc,customer journey time performance
2024-06-01,B DIVISION,M,peak,1891356.5,2.172224165,0.028766528,4108450.293,54407.75917,377197.2,19.9432101,80.0567899
2024-06-01,B DIVISION,N,offpeak,2526741.6,1.345729584,0.546364712,3400310.922,1380522.448,459327.8,18.1786614,81.8213386
2024-06-01,B DIVISION,N,peak,2669716.5,1.170873003,0.330813556,3125898.977,883178.4077,383082.2,14.3491715,85.6508285
2024-06-01,B DIVISION,Q,offpeak,3162373.9,1.743817906,0.540616438,5514604.234,1709631.313,655357.3,20.7235868,79.2764132
2024-06-01,B DIVISION,Q,peak,3217008.6,1.480141854,0.498072343,4761629.074,1602303.012,610796.4,18.9864708,81.0135292
2024-06-01,B DIVISION,R,offpeak,3361071.9,1.768378175,0.074645488,5943646.192,250888.8523,678289.8,20.1807584,79.8192416
2024-06-01,B DIVISION,R,peak,3642990.7,1.481712225,-0.048356239,5397863.857,-176161.3287,581450.2,15.9607929,84.0392071
2024-06-01,B DIVISION,S Fkln,offpeak,182386,0.655141057,0.099651703,119488.5568,18175.0755,8400.1,4.6056715,95.3943285
2024-06-01,B DIVISION,S Fkln,peak,177672,0.576517774,0.064283775,102431.066,11421.42683,8653.4,4.8704354,95.1295646
2024-06-01,B DIVISION,S Rock,offpeak,25400,0.727378373,-0.956813406,18475.41067,-24303.0605,2470.7,9.7271654,90.2728346
2024-06-01,B DIVISION,S Rock,peak,18388,0.630563175,-1.331517394,11594.79567,-24483.94183,1599.6,8.6991516,91.3008484
2024-06-01,B DIVISION,W,offpeak,1284420.5,0.873232326,0.156917652,1121597.5,201548.249,133098.5,10.3625331,89.6374669
2024-06-01,B DIVISION,W,peak,1470324.6,0.747265701,-0.149745864,1098723.142,-220175.0277,108861.4,7.4039025,92.5960975
2024-06-01,Systemwide,Systemwide,Systemwide,127461436.3,1.31101961,0.410399937,167104442.6,52310165.4,19153901.5,15.027213,84.972787
2024-05-01,A DIVISION,1,offpeak,4526043.2,1.076094099,0.779315401,4870448.378,3527215.172,564941.8,12.482024,87.517976
2024-05-01,A DIVISION,1,peak,4797111,1.412576029,0.62271179,6776284.009,2987217.58,490885,10.2329298,89.7670702
2024-05-01,A DIVISION,2,offpeak,2969421.6,1.510039978,0.383401185,4483945.329,1138479.76,483401.4,16.2793118,83.7206882
2024-05-01,A DIVISION,2,peak,3429319.9,1.352426387,0.194270947,4637902.722,666217.2252,382345.7,11.1493156,88.8506844
2024-05-01,A DIVISION,3,offpeak,2314046.7,1.071236329,0.320827072,2478890.892,742408.8275,276844.4,11.9636479,88.0363521
2024-05-01,A DIVISION,3,peak,2636871.7,1.209592843,0.269145231,3189541.135,709701.4433,256446.9,9.725422,90.274578
2024-05-01,A DIVISION,4,offpeak,3796780.6,1.123497099,0.476645887,4265671.99,1809719.856,520186.2,13.7007179,86.2992821
2024-05-01,A DIVISION,4,peak,3943926.4,1.040723892,0.49558758,4104538.433,1954560.942,459578.2,11.6528087,88.3471913
2024-05-01,A DIVISION,5,offpeak,2770739.2,1.196557458,0.478422074,3315348.655,1325582.795,384395.5,13.8733916,86.1266084
2024-05-01,A DIVISION,5,peak,3466545.6,1.069704853,0.21047218,3708180.651,729611.4078,366434.4,10.5705922,89.4294078
2024-05-01,A DIVISION,6,offpeak,5241436.2,1.286233447,0.678427845,6741710.55,3555936.264,707899,13.5058212,86.4941788
2024-05-01,A DIVISION,6,peak,5661209.8,1.595297782,0.944299388,9031315.439,5345876.95,832388.8,14.7033731,85.2966269
2024-05-01,A DIVISION,7,offpeak,3933174.6,1.478902882,0.467032715,5816783.251,1836921.212,484666.5,12.3225269,87.6774731
2024-05-01,A DIVISION,7,peak,4287287.6,1.127376522,0.641557071,4833387.385,2750539.674,397945.3,9.2819829,90.7180171
2024-05-01,A DIVISION,S 42nd,offpeak,362445.3,0.484656319,-0.100368186,175661.405,-36377.97717,6164.6,1.700836,98.299164
2024-05-01,A DIVISION,S 42nd,peak,446573.4,0.399324869,-0.125411653,178327.8643,-56005.50833,581.2,0.1301466,99.8698534
2024-05-01,B DIVISION,A,offpeak,3724560.9,1.228071174,0.840573421,4574025.876,3130766.899,767295.4,20.6009627,79.3990373
2024-05-01,B DIVISION,A,peak,4402401,1.095988769,0.569667178,4824982.051,2507903.353,725557.6,16.4809521,83.5190479
2024-05-01,B DIVISION,B,offpeak,1877612.1,1.876492066,0.889036219,3523324.209,1669265.162,458069.6,24.3963916,75.6036084
2024-05-01,B DIVISION,B,peak,2948617.2,2.326621632,1.203023934,6860316.562,3547257.063,732038.9,24.8265153,75.1734847
2024-05-01,B DIVISION,C,offpeak,2420607,1.508157394,0.50852415,3650656.344,1230937.118,421531.1,17.4142725,82.5857275
2024-05-01,B DIVISION,C,peak,2049094.6,1.599026577,0.266229692,3276556.724,545529.8237,343136.5,16.7457618,83.2542382
2024-05-01,B DIVISION,D,offpeak,3239220.3,1.450385115,0.971985402,4698116.906,3148474.844,768618.3,23.7284973,76.2715027
2024-05-01,B DIVISION,D,peak,2948991.8,1.435575996,1.058086358,4233501.841,3120287.994,630098.1,21.3665599,78.6334401
2024-05-01,B DIVISION,E,offpeak,3464043.3,1.107356117,0.279548794,3835929.538,968369.1252,504080.1,14.551784,85.448216
2024-05-01,B DIVISION,E,peak,3913999.8,1.064290239,-0.37555014,4165631.783,-1469903.174,382091.7,9.7621799,90.2378201
2024-05-01,B DIVISION,F,offpeak,4091602.1,1.633838109,0.159793487,6685015.439,653811.3658,820972,20.0648054,79.9351946
2024-05-01,B DIVISION,F,peak,4605945.8,1.500350756,-0.397142302,6910534.262,-1829215.918,639036.9,13.8741732,86.1258268
2024-05-01,B DIVISION,G,offpeak,1246857.5,1.130181776,0.907024502,1409175.624,1130930.303,214585.9,17.2101383,82.7898617
2024-05-01,B DIVISION,G,peak,1429087,1.133197915,0.630434375,1619438.409,900945.5693,265752.4,18.5959567,81.4040433
2024-05-01,B DIVISION,JZ,offpeak,1378220.1,1.373918078,0.947780112,1893561.511,1306249.6,307135.5,22.2849384,77.7150616
2024-05-01,B DIVISION,JZ,peak,1470883.5,1.242608142,0.818011412,1827731.813,1203199.489,287804.4,19.5667706,80.4332294
2024-05-01,B DIVISION,L,offpeak,2636045.1,1.052691279,0.650157136,2774941.688,1713843.534,267948.9,10.1648071,89.8351929
2024-05-01,B DIVISION,L,peak,2679121.2,0.851596605,0.548234031,2281530.519,1468785.414,213138.4,7.9555341,92.0444659
2024-05-01,B DIVISION,M,offpeak,1662071.5,2.127509897,0.261225388,3536073.566,434175.2732,415247.6,24.9837387,75.0162613
2024-05-01,B DIVISION,M,peak,1967010,2.066826227,0.101481326,4065467.856,199614.7822,398170.5,20.2424238,79.7575762
2024-05-01,B DIVISION,N,offpeak,2551136.5,1.513612233,0.868919099,3861431.415,2216731.228,489052.2,19.1699739,80.8300261
2024-05-01,B DIVISION,N,peak,2817874.5,1.54479088,0.658612183,4353026.83,1855886.475,489020.5,17.3542328,82.6457672
2024-05-01,B DIVISION,Q,offpeak,3190864.5,1.308108238,0.415798957,4173996.138,1326758.131,590550.5,18.5075393,81.4924607
2024-05-01,B DIVISION,Q,peak,3356210.9,1.451677399,0.792547462,4872135.509,2659956.432,674716.1,20.1035072,79.8964928
2024-05-01,B DIVISION,R,offpeak,3476671.8,1.846843456,0.23331518,6420868.563,811160.3072,714570,20.5532774,79.4467226
2024-05-01,B DIVISION,R,peak,3837145,1.736086553,0.081287139,6661615.837,311910.538,676249.4,17.6237645,82.3762355
2024-05-01,B DIVISION,S Fkln,offpeak,196053.9,0.795445525,0.093548233,155950.1975,18340.49583,9664.2,4.9293587,95.0706413
2024-05-01,B DIVISION,S Fkln,peak,182095.2,0.434995886,0.044138561,79210.66283,8037.420167,5474.4,3.0063395,96.9936605
2024-05-01,B DIVISION,S Rock,offpeak,28125.3,1.737533644,-0.659756589,48868.655,-18555.852,3172.1,11.2784575,88.7215425
2024-05-01,B DIVISION,S Rock,peak,19454.4,0.65430164,-1.186800895,12729.04583,-23088.49933,1950.5,10.0260095,89.9739905
2024-05-01,B DIVISION,W,offpeak,1320082,0.855248042,0.326997863,1128997.546,431663.9927,153803.8,11.6510793,88.3489207
2024-05-01,B DIVISION,W,peak,1547284.4,1.151099278,0.167424638,1781077.956,259053.5307,158039.9,10.2140175,89.7859825
2024-05-01,Systemwide,Systemwide,Systemwide,131261923,1.362195181,0.490825412,178804359,64426687.44,20143678.3,15.3461703,84.6538297
2024-04-01,A DIVISION,1,offpeak,4778889.8,1.17242703,0.859038065,5602899.576,4105248.248,648714.1,13.5745775,86.4254225
2024-04-01,A DIVISION,1,peak,5037462.7,1.861356196,0.776393175,9376512.409,3911051.659,614847.7,12.2055038,87.7944962
2024-04-01,A DIVISION,2,offpeak,3173538.4,1.794394431,0.763849486,5694579.63,2424105.677,608830.6,19.1845985,80.8154015
